Ellen Pompeo,Dr. Meredith Grey,220,2005, 2014
Sandra Oh,Dr. Cristina Yang,220,2005, 2014
Justin Chambers,Dr. Alex Karev,220,2005, 2014
Chandra Wilson,Dr. Miranda Bailey,220,2005, 2014
James Pickens Jr.,Dr. Richard Webber,220,2005, 2014
Patrick Dempsey,Dr. Derek Shepherd,220,2005, 2014
Sara Ramirez,Dr. Callie Torres,192,2006, 2014
Kevin McKidd,Dr. Owen Hunt,140,2008, 2014
Eric Dane,Dr. Mark Sloan,138,2006, 2012
Jessica Capshaw,Dr. Arizona Robbins,130,2009, 2014
Katherine Heigl,Dr. Izzie Stevens,120,2005, 2010
Chyler Leigh,Dr. Lexie Grey,113,2007, 2012
Jesse Williams,Dr. Jackson Avery,113,2009, 2014
Sarah Drew,Dr. April Kepner,105,2009, 2014
T.R. Knight,Dr. George O'Malley,102,2005, 2009
Isaiah Washington,Dr. Preston Burke,62,2005, 2014
Kim Raver,Dr. Teddy Altman,61,2009, 2012
Camilla Luddington,Dr. Jo Wilson,46,2012, 2014
Gaius Charles,Dr. Shane Ross,46,2012, 2014
Jerrika Hinton,Dr. Stephanie Edwards,45,2012, 2014
Tessa Ferrer,Dr. Leah Murphy,40,2012, 2014
Mark Saul,Dr. Steve Mostow,37,2007, 2012
Jason George,Dr. Ben Warren,29,2010, 2014
Moe Irvin,Nurse Tyler,29,2005, 2014
Molly Kidder,Intern Megan,26,2007, 2010
Brooke Smith,Dr. Erica Hahn,25,2006, 2008
Gloria Garayua,Intern Graciella,24,2007, 2010
Jeffrey Dean Morgan,Denny Duquette,23,2006, 2009
Loretta Devine,Adele Webber,22,2005, 2013
Tina Majorino,Dr. Heather Brooks,22,2012, 2013
Joseph Williamson,Intern Pierce,22,2007, 2009
Payton Silver,Dr. Knox,21,2009, 2014
Candice Afia,Intern Laura,19,2007, 2009
Amrapali Ambegaokar,Intern Dani,19,2007, 2009
Winston Story,Intern Leo,19,2007, 2009
Sarah Utterback,Nurse Olivia Harper,18,2005, 2009
Kate Burton,Ellis Grey,18,2005, 2012
Tymberlee Hill,Intern Claire,16,2007, 2009
Scott Foley,Henry Burton,15,2010, 2012
Ray Ford,Ray the Paramedic,15,2005, 2011
Brandon Scott,Dr. Ryan Spalding,15,2008, 2009
Kate Anthony,Nurse Kate,15,2006, 2010
Jeff Perry,Thatcher Grey,14,2006, 2011
Debbie Allen,Dr. Catherine Avery,14,2011, 2014
Robert Baker,Dr. Charles Percy,13,2009, 2012
Lauren Stamile,Nurse Rose,12,2007, 2008
Justin Bruening,Paramedic Matthew, 12, 2013
Robin Pearson Rose,Patricia,12,2005, 2009
Linda Klein,Nurse Linda,12,2005, 2007
Nora Zehetner,Dr. Reed Adamson,11,2009, 2010
